Player,Origin
Achraf Hakimi,Morocco
Alisson,Brazil
Álvaro Morata,Spain
Ángel Di María,Argentina
Antoine Griezmann,France
Arthur,Brazil
Aymeric Laporte,France
Christian Pulisic,United States
Cristiano Ronaldo,Portugal
Eden Hazard,Belgium
Edinson Cavani,Uruguay
Frenkie de Jong,Netherlands
Gareth Bale,Wakes
Gonzalo Higuaín,Argentina
Harry Maguire,England
Jack Grealish,England
Jadon Sancho,England
James Rodríguez,Colombia
João Cancelo,Portugal
João Félix,Portugal
Kai Havertz,Germany
Kaká,Brazil
Kepa Arrizabalaga,Spain
Kevin De Bruyne,Belgium
Kylian Mbappé,France
Lucas Hernandez,France
Luís Figo,Portugal
Luis Suárez,Uruguay
Luka Jović,Serbia
Matthijs de Ligt,Netherlands
Miralem Pjanić,Bosnia and Herzegovina
Naby Keïta,Guinea
Neymar,Brazil
Nicolas Pépé,Ivory Coast
Oscar,Brazil
Ousmane Dembélé,France
Paul Pogba,France
Philippe Coutinho,Brazil
Pierre-Emerick Aubameyang,Gabon
Radamel Falcao,Colombia
Raheem Sterling,England
Riyad Mahrez,Algeria
Rodri,Spain
Romelu Lukaku,Belgium
Rúben Dias,Portugal
Sweden Zlatan Ibrahimović,Sweden
Tanguy Ndombele,France
Thomas Lemar,France
Victor Osimhen,Nigeria
Virgil van Dijk,Netherlands
Zinedine Zidane,France
