Player,Fee(€ mln)
Neymar,222
Cristiano Ronaldo,194
Kylian Mbappé,180
Romelu Lukaku,165
Philippe Coutinho,145
Ángel Di María,139.6
João Félix,126
Antoine Griezmann,120
Jack Grealish,117
Ousmane Dembélé,105
Paul Pogba,105
Eden Hazard,100
Gareth Bale,100
Gonzalo Higuaín,90
Harry Maguire,87
Jadon Sancho,85
Virgil van Dijk,84.5
Luis Suárez,82.3
Kepa Arrizabalaga,80
Lucas Hernandez,80
Nicolas Pépé,80
Kai Havertz,77
Zinedine Zidane,76
Frenkie de Jong,75
James Rodríguez,75
Kevin De Bruyne,75
Matthijs de Ligt,75
Arthur,72
Rodri,70
Thomas Lemar,70
Victor Osimhen,70
Sweden Zlatan Ibrahimović,69.5
Rúben Dias,68
Riyad Mahrez,67.8
Kaká,67
Álvaro Morata,65.5
Aymeric Laporte,65.2
João Cancelo,65
Edinson Cavani,64.5
Christian Pulisic,64
Pierre-Emerick Aubameyang,63.7
Alisson,62.5
Raheem Sterling,62.5
Luís Figo,62
Oscar,61
Achraf Hakimi,60
Luka Jović,60
Miralem Pjanić,60
Naby Keïta,60
Radamel Falcao,60
Tanguy Ndombele,60
